team,playerId,name,등번호,생년월일,포지션,신장/체중,경력,입단 계약금,연봉,지명순위,입단년도
LG,55164,박관우,No. 64,2006년 03월 22일,외야수(좌투좌타),174cm/82kg,욱수초(경산시리틀)-경운중-경북고,7000만원,3000만원,25 LG 5라운드 50순위,25LG
LG,79365,박동원,No. 27,1990년 04월 07일,포수(우투우타),178cm/92kg,양정초-개성중-개성고-히어로즈-상무-히어로즈-키움-KIA,6000만원,120000만원,09 히어로즈 2차 3라운드 19순위,09히어로즈
LG,53139,박명근,No. 39,2004년 03월 27일,투수(우언우타),174cm/75kg,수택초(구리리틀)-구리인창중-라온고,11000만원,6000만원,23 LG 3라운드 27순위,23LG
LG,55121,박시원,No. 19,2006년 04월 12일,투수(우투우타),193cm/93kg,송수초(해운대리틀)-센텀중-경남고,,3000만원,25 LG 6라운드 60순위,25LG
LG,62415,박해민,No. 17,1990년 02월 24일,외야수(우투좌타),180cm/75kg,영중초-양천중-신일고-한양대-삼성,,60000만원,12 삼성 육성선수,12삼성
LG,63145,배재준,No. 25,1994년 11월 24일,투수(우투우타),188cm/85kg,본리초-경상중-대구상원고,10000만원,4500만원,13 LG 2라운드 16순위,16LG
LG,65109,백승현,No. 61,1995년 05월 26일,투수(우투우타),183cm/90kg,소래초-상인천중-인천고,7000만원,7000만원,15 LG 2차 3라운드 30순위,17LG
LG,55160,서영준,No. 60,2006년 03월 18일,외야수(우투우타),186cm/90kg,화정초-진흥중-전주고,7000만원,3000만원,25 LG 5라운드 44순위,25LG
LG,68159,성동현,No. 34,1999년 05월 18일,투수(우투우타),189cm/108kg,백마초-홍은중-장충고,15000만원,3400만원,18 LG 2차 1라운드 7순위,18LG
LG,54156,손용준,No. 52,2000년 02월 15일,내야수(우투우타),178cm/85kg,김해화정초(김해리틀)-내동중-김해고-동원과학기술대,10000만원,3100만원,24 LG 3라운드 28순위,24LG
LG,67143,손주영,No. 29,1998년 12월 02일,투수(좌투좌타),191cm/95kg,울산대현초-개성중-경남고,15000만원,17200만원,17 LG 2차 1라운드 2순위,17LG
LG,51111,송승기,No. 13,2002년 04월 10일,투수(좌투좌타),181cm/90kg,삼일초-매향중-야탑고-LG-상무,3000만원,3600만원,21 LG 2차 9라운드 87순위,22LG
LG,68110,송찬의,No. 14,1999년 02월 20일,외야수(우투우타),182cm/80kg,화곡초-선린중-선린인터넷고,5000만원,3500만원,18 LG 2차 7라운드 67순위,22LG
LG,65207,신민재,No. 4,1996년 01월 21일,내야수(우투좌타),171cm/67kg,서흥초-동인천중-인천고,,20000만원,15 두산 육성선수,19LG
LG,61411,심창민,No. 28,1993년 02월 01일,투수(우언우타),185cm/86kg,동삼초-경남중-경남고-삼성-상무-삼성-NC,20000만원,8000만원,11 삼성 1라운드 4순위,11삼성
LG,65115,안익훈,No. 15,1996년 02월 12일,외야수(좌투좌타),176cm/76kg,대전신흥초-충남중-대전고,12000만원,5200만원,15 LG 2차 1라운드 7순위,15LG
LG,54119,에르난데스,No.,1995년 05월 03일,투수(우투우타),185cm/97kg,베네수엘라 U.E.N Monsenor Perez Leon(고)-LG,,800000달러,24 LG 자유선발,24LG
LG,53123,오스틴,No. 23,1993년 10월 14일,내야수(우투우타),183cm/97kg,미국 Klein Collins(고),100000달러,1200000달러,23 LG 자유선발,23LG
LG,79109,오지환,No. 10,1990년 03월 12일,내야수(우투좌타),185cm/80kg,군산초-자양중-경기고,28000만원,30000만원,09 LG 1차,09LG
LG,51526,우강훈,No. 20,2002년 10월 03일,투수(우언우타),183cm/88kg,희망대초-매송중-야탑고-롯데,4000만원,3600만원,21 롯데 2차 5라운드 41순위,23롯데
LG,50106,유영찬,No. 54,1997년 03월 07일,투수(우투좌타),185cm/90kg,덕성초(안산리틀)-배명중-배명고-건국대,,21000만원,20 LG 2차 5라운드 43순위,23LG
LG,51100,이영빈,No. 7,2002년 06월 17일,내야수(우투좌타),182cm/82kg,대전동산초(대전중구리틀)-충남중-세광고-LG-상무,13000만원,6000만원,21 LG 2차 1라운드 7순위,21LG
LG,61145,이우찬,No. 21,1992년 08월 04일,투수(좌투좌타),185cm/97kg,온양온천초-온양중-북일고-LG-경찰,11000만원,10000만원,11 LG 2라운드 15순위,11LG
LG,69134,이정용,No. 31,1996년 03월 26일,투수(우투우타),185cm/83kg,영일초-성남중-성남고-동아대-LG-상무,20000만원,27000만원,19 LG 1차,19LG
LG,50904,이종준,No. 40,2001년 03월 09일,투수(우투우타),191cm/93kg,군산중앙초-군산남중-군산상고,3000만원,4200만원,20 NC 2차 9라운드 81순위,24LG
LG,52154,이주헌,No. 26,2003년 03월 04일,포수(우투우타),185cm/92kg,서울이수초-성남중-성남고,7000만원,3300만원,22 LG 2차 3라운드 27순위,22LG
LG,69108,이지강,No. 32,1999년 07월 02일,투수(우투우타),183cm/85kg,수원선일초-수원북중-소래고,3000만원,8300만원,19 LG 2차 9라운드 85순위,22LG
LG,55165,이태훈,No. 65,2006년 08월 21일,내야수(우투좌타),183cm/83kg,가동초-덕수중-경동고,8000만원,3000만원,25 LG 4라운드 40순위,25LG
LG,55100,이한림,No. 00,2006년 11월 18일,포수(우투우타),182cm/92kg,해남동초(해남군리틀)-화순중-전주고,11000만원,3000만원,25 LG 3라운드 30순위,25LG
LG,61101,임찬규,No. 1,1992년 11월 20일,투수(우투우타),185cm/80kg,가동초-청원중-휘문고-LG-경찰,30000만원,20000만원,11 LG 1라운드 2순위,11LG
LG,63950,장현식,No. 50,1995년 02월 24일,투수(우투우타),181cm/91kg,신도초-서울이수중-서울고-NC-경찰-NC-KIA,15000만원,20000만원,13 NC 1라운드 9순위,13NC
LG,69159,정우영,No. 18,1999년 08월 19일,투수(우언우타),193cm/99kg,가평초-강남중-서울고,10000만원,18000만원,19 LG 2차 2라운드 15순위,19LG
LG,54148,진우영,No. 48,2001년 02월 05일,투수(우투우타),188cm/97kg,성동초-글로벌선진학교,,3400만원,24 LG 4라운드 38순위,24LG
LG,50054,천성호,No. 59,1997년 10월 30일,내야수(우투좌타),183cm/85kg,광주화정초-충장중-진흥고-단국대-KT-상무-KT,10000만원,7100만원,20 KT 2차 2라운드 12순위,20KT
LG,65905,최승민,No. 62,1996년 07월 01일,외야수(우투좌타),181cm/73kg,서울학동초-대치중-신일고-상무-NC,,4300만원,15 NC 육성선수,17상무
LG,52103,최원영,No. 3,2003년 07월 18일,외야수(우투우타),174cm/76kg,부산수영초-사직중-부산고,5000만원,4000만원,22 LG 2차 6라운드 57순위,24LG
LG,68419,최채흥,No. 56,1995년 01월 22일,투수(좌투좌타),186cm/97kg,동천초-포항중-대구상원고-한양대-삼성-상무-삼성,30000만원,13000만원,18 삼성 1차,18삼성
LG,55163,추세현,No. 63,2006년 04월 19일,투수(우투우타),187cm/90kg,성신초(서울중구리틀)-청량중-경기상고,15000만원,3000만원,25 LG 2라운드 20순위,25LG
LG,55146,치리노스,No. 46,1993년 12월 26일,투수(우투우타),188cm/102kg,베네수엘라 U.E.N heroes nigales(고),200000달러,800000달러,25 LG 자유선발,25LG
LG,55138,코엔 윈,No.,1999년 01월 25일,투수(우투우타),193cm/86kg,호주 Grand Canyon(대)-LG,,11000달러,25 LG 부상 대체 외국인선수,25LG
LG,55130,톨허스트,No. 30,1999년 09월 13일,투수(우투우타),193cm/86kg,미국 Grossmont(고),,270000달러,25 LG 자유선발,25LG
LG,63248,함덕주,No. 11,1995년 01월 13일,투수(좌투좌타),181cm/78kg,일산초-원주중-원주고-두산,6000만원,20000만원,13 두산 5라운드 43순위,13두산
LG,50108,함창건,No. 24,2001년 08월 18일,외야수(좌투좌타),176cm/83kg,백운초-충암중-충암고,5000만원,3200만원,20 LG 2차 7라운드 63순위,24LG
LG,53102,허용주,No. 43,2003년 06월 05일,투수(우투우타),194cm/88kg,사파초-마산동중-용마고,5000만원,3000만원,23 LG 7라운드 67순위,25LG
LG,52119,허준혁,No. 58,1999년 07월 02일,투수(우투우타),180cm/85kg,가평초(가평군리틀)-영동중-경기고-한일장신대-LG-상무,6000만원,3300만원,22 LG 2차 5라운드 47순위,22LG
LG,66108,홍창기,No. 51,1993년 11월 21일,외야수(우투좌타),189cm/94kg,대일초-매송중-안산공고-건국대-LG-경찰,8000만원,65000만원,16 LG 2차 3라운드 27순위,16LG
한화,50705,강재민,No. 39,1997년 04월 03일,투수(우언우타),180cm/89kg,양덕초-마산중-용마고-단국대,8000만원,14500만원,20 한화 2차 4라운드 38순위,20한화
한화,52769,권광민,No. 17,1997년 12월 12일,내야수(좌투좌타),189cm/102kg,서울청구초-홍은중-장충고,,3800만원,22 한화 2차 5라운드 41순위,16시카고컵스
한화,55764,권민규,No. 64,2006년 05월 13일,투수(좌투좌타),188cm/90kg,청주석교초-세광중-세광고,16000만원,3000만원,25 한화 2라운드 12순위,25한화
한화,51715,김기중,No. 15,2002년 11월 16일,투수(좌투좌타),186cm/96kg,의왕부곡초-매송중-유신고,15000만원,6000만원,21 한화 2차 1라운드 2순위,21한화
한화,54705,김도빈,No. 62,2001년 01월 05일,투수(우투우타),190cm/95kg,서화초-경기신흥중-성지고-강릉영동대,,3100만원,24 한화 육성선수,24한화
한화,65764,김민우,No. 53,1995년 07월 25일,투수(우투우타),186cm/123kg,사파초-마산중-용마고,20000만원,13000만원,15 한화 2차 1라운드 1순위,15한화
한화,65769,김범수,No. 47,1995년 10월 03일,투수(좌투좌타),181cm/92kg,온양온천초-온양중-북일고,20000만원,14300만원,15 한화 1차,15한화
한화,53754,김서현,No. 44,2004년 05월 31일,투수(우투우타),188cm/86kg,효제초-자양중-서울고,50000만원,5600만원,23 한화 1라운드 1순위,23한화
한화,50711,김승일,No. 14,2001년 07월 07일,투수(우언우타),183cm/85kg,해강초(해운대리틀)-센텀중-경남고,3000만원,3200만원,20 한화 2차 10라운드 98순위,24한화
한화,66715,김인환,No. 37,1994년 01월 28일,내야수(우투좌타),186cm/100kg,화순초-화순중-화순고-성균관대,,5500만원,16 한화 육성선수,18한화
한화,63765,김종수,No. 38,1994년 06월 03일,투수(우투우타),180cm/88kg,성동초-덕수중-울산공고,3000만원,5500만원,13 한화 8라운드 74순위,13한화
한화,66704,김태연,No. 25,1997년 06월 10일,외야수(우투우타),178cm/96kg,서울청구초-덕수중-야탑고,5000만원,14600만원,16 한화 2차 6라운드 59순위,17한화
한화,69737,노시환,No. 8,2000년 12월 03일,내야수(우투우타),185cm/105kg,부산수영초-경남중-경남고,20000만원,33000만원,19 한화 2차 1라운드 3순위,19한화
한화,76715,류현진,No. 99,1987년 03월 25일,투수(좌투우타),190cm/113kg,창영초-동산중-동산고-(대전대)-한화-LA다저스-토론토,25000만원,200000만원,06 한화 2차 1라운드 2순위,06한화
한화,55703,리베라토,No. 0,1995년 12월 18일,외야수(좌투좌타),185cm/79kg,Esperanza Milena Martinez (고),,205000달러,25 한화 부상 대체 외국인선수,25한화
한화,52701,문동주,No. 1,2003년 12월 23일,투수(우투우타),188cm/97kg,광주화정초-무등중-진흥고,50000만원,10000만원,22 한화 1차,22한화
한화,51705,문승진,No.,2002년 04월 02일,투수(우투우타),185cm/91kg,서울청구초-홍은중-서울고-한화,3000만원,3000만원,21 한화 2차 10라운드 92순위,25한화
한화,53764,문현빈,No. 51,2004년 04월 20일,내야수(우투좌타),174cm/82kg,대전유천초-온양중-북일고,15000만원,8800만원,23 한화 2라운드 11순위,23한화
한화,66707,박상언,No. 42,1997년 03월 03일,포수(우투우타),185cm/90kg,무원초-영남중-유신고-한화-상무,4000만원,4200만원,16 한화 2차 8라운드 79순위,17한화
한화,67703,박상원,No. 58,1994년 09월 09일,투수(우투우타),187cm/98kg,백운초-서울이수중-휘문고-연세대,8000만원,22000만원,17 한화 2차 3라운드 25순위,17한화
한화,50709,박정현,No. 63,2001년 07월 27일,내야수(우투우타),183cm/83kg,부천북초-부천중-유신고-한화-상무,4000만원,3700만원,20 한화 2차 8라운드 78순위,20한화
한화,52731,박준영,No. 113,2003년 03월 02일,투수(우투우타),190cm/103kg,청주우암초(청주시리틀)-세광중-세광고,20000만원,,22 한화 2차 1라운드 1순위,22한화
한화,51761,배동현,No. 61,1998년 03월 16일,투수(우투좌타),183cm/83kg,판곡초(양평리틀)-언북중-경기고-한일장신대-한화-상무,6000만원,3400만원,21 한화 2차 5라운드 42순위,21한화
한화,69974,배민서,No. 45,1999년 11월 18일,투수(우언우타),184cm/90kg,대구수창초-경운중-대구상원고-NC-상무-NC,7000만원,4100만원,19 NC 2차 4라운드 37순위,19NC
한화,55798,배승수,No. 98,2006년 05월 15일,내야수(우투우타),184cm/73kg,가동초-자양중-덕수고,9000만원,3000만원,25 한화 4라운드 32순위,25한화
한화,53711,성지훈,No.,2000년 01월 29일,투수(좌투좌타),181cm/68kg,송정동초-무등중-광주제일고-동아대,,3000만원,23 한화 육성선수,24한화
한화,77532,손아섭,No. 31,1988년 03월 18일,외야수(우투좌타),174cm/84kg,양정초-개성중-부산고-롯데-NC,8000만원,50000만원,07 롯데 2차 4라운드 29순위,07롯데
한화,64006,심우준,No. 2,1995년 04월 28일,내야수(우투우타),183cm/75kg,송정동초-언북중-경기고-(영남사이버대)-KT-상무-KT,13000만원,50000만원,14 KT 2차 특별 14순위,14KT
한화,79608,안치홍,No. 3,1990년 07월 02일,내야수(우투우타),178cm/97kg,구지초(구리리틀)-대치중-서울고-KIA-경찰-KIA-롯데,18000만원,50000만원,09 KIA 2차 1라운드 1순위,09KIA
한화,65056,엄상백,No. 11,1996년 10월 04일,투수(우언우타),187cm/72kg,역삼초-언북중-덕수고-KT-상무-KT,23000만원,90000만원,15 KT 1차,15KT
한화,54755,와이스,No. 55,1996년 12월 10일,투수(우투우타),193cm/95kg,미국 Wright State(대),12000달러,600000달러,24 한화 부상 대체 외국인선수,24한화
한화,54702,원종혁,No. 48,2005년 08월 27일,투수(우투우타),184cm/92kg,서울도곡초-휘문중-구리인창고,3000만원,3000만원,24 한화 9라운드 81순위,25한화
한화,69766,유로결,No. 33,2000년 05월 30일,외야수(우투우타),186cm/83kg,광주서림초-광주동성중-광주제일고,11000만원,3500만원,19 한화 2차 2라운드 13순위,19한화
한화,63464,윤대경,No. 5,1994년 04월 09일,투수(우투우타),179cm/81kg,인천서림초-동인천중-인천고-삼성,5000만원,7000만원,13 삼성 7라운드 65순위,13삼성
한화,69213,윤산흠,No. 49,1999년 05월 15일,투수(우투우타),178cm/75kg,광주화정초-진흥중-영선고-두산-상무,,3800만원,19 두산 육성선수,21한화
한화,65703,이도윤,No. 7,1996년 10월 07일,내야수(우투좌타),175cm/79kg,고명초-배재중-북일고,8000만원,11000만원,15 한화 2차 3라운드 24순위,15한화
한화,65616,이민우,No. 27,1993년 02월 09일,투수(우투우타),185cm/104kg,순천북초-순천이수중-효천고-경성대-KIA,24000만원,9400만원,15 KIA 1차,17KIA
한화,55710,이민재,No. 57,2004년 03월 07일,외야수(우투좌타),184cm/80kg,호동초(안산리틀)-안산중-비봉고-동원과학기술대,3000만원,3000만원,25 한화 11라운드 102순위,
한화,65117,이상규,No. 18,1996년 10월 20일,투수(우투우타),185cm/77kg,흥인초-청원중-청원고-LG,4000만원,4800만원,15 LG 2차 7라운드 70순위,19LG
한화,52704,이상혁,No. 9,2001년 09월 14일,외야수(우투좌타),174cm/65kg,수원영화초(군포시리틀)-수원북중-장안고-강릉영동대,,3500만원,22 한화 육성선수,23한화
한화,55712,이승현,No. 60,2002년 07월 23일,내야수(우투좌타),172cm/77kg,부천상인초(원미구리틀)-부천중-포항제철고-성균관대,,3000만원,25 한화 육성선수,25한화
한화,68700,이원석,No. 50,1999년 03월 31일,외야수(우투우타),177cm/80kg,화곡초-충암중-충암고,8000만원,5000만원,18 한화 2차 4라운드 34순위,19한화
한화,76812,이재원,No. 20,1988년 02월 24일,포수(우투우타),185cm/98kg,인천숭의초-상인천중-인천고-SK-상무-SK-SSG,25000만원,10000만원,06 SK 1차,06SK
한화,66657,이진영,No. 10,1997년 07월 21일,외야수(우투우타),183cm/89kg,둔촌초-선린중-선린인터넷고-KIA-경찰-KIA,5000만원,6200만원,16 KIA 2차 6라운드 58순위,16KIA
한화,60768,이태양,No. 46,1990년 07월 03일,투수(우투좌타),192cm/97kg,여수서초-여수중-효천고-한화-SK-SSG,7000만원,27000만원,10 한화 5라운드 36순위,10한화
한화,50704,임종찬,No. 24,2001년 09월 28일,외야수(우투좌타),184cm/85kg,청주우암초-청주중-북일고,9000만원,3700만원,20 한화 2차 3라운드 28순위,20한화
한화,51762,장규현,No. 32,2002년 06월 28일,포수(우투좌타),183cm/96kg,인성초(미추홀구리틀)-동인천중-인천고-한화-상무,7000만원,3300만원,21 한화 2차 4라운드 32순위,21한화
한화,79764,장민재,No. 36,1990년 03월 19일,투수(우투우타),184cm/106kg,광주화정초-무등중-광주제일고,8000만원,15000만원,09 한화 2차 3라운드 22순위,09한화
한화,77318,장시환,No. 28,1987년 11월 01일,투수(우투우타),184cm/97kg,태안초-태안중-북일고-현대-히어로즈-상무-히어로즈-KT-롯데,18000만원,15000만원,07 현대 2차 1라운드 2순위,07현대
한화,69645,장지수,No. 40,2000년 05월 25일,투수(우투우타),179cm/80kg,사당초-강남중-성남고-KIA-상무-KIA,10000만원,3400만원,19 KIA 2차 2라운드 20순위,19KIA
한화,51764,정민규,No. 65,2003년 01월 10일,내야수(우투우타),183cm/101kg,광일초(부산서구리틀)-경남중-부산고-한화-상무,15000만원,3100만원,21 한화 1차,21한화
한화,55743,정우주,No. 43,2006년 11월 07일,투수(우투우타),184cm/88kg,구남초(남양주리틀)-건대부중-전주고,50000만원,3000만원,25 한화 1라운드 2순위,25한화
한화,54768,조동욱,No. 68,2004년 11월 02일,투수(좌투좌타),190cm/82kg,소래초-영남중-장충고,15000만원,4000만원,24 한화 2라운드 11순위,24한화
한화,65707,주현상,No. 66,1992년 08월 10일,투수(우투우타),177cm/92kg,청주우암초-청주중-청주고-동아대,5000만원,25000만원,15 한화 2차 7라운드 64순위,15한화
한화,79192,채은성,No. 22,1990년 02월 06일,내야수(우투우타),186cm/92kg,순천북초-순천이수중-효천고-LG,,60000만원,09 LG 육성선수,14LG
한화,50707,최인호,No. 41,2000년 01월 30일,외야수(우투좌타),178cm/82kg,송정동초-광주동성중-포항제철고-한화-상무,6000만원,6800만원,20 한화 2차 6라운드 58순위,20한화
한화,78288,최재훈,No. 13,1989년 08월 27일,포수(우투우타),178cm/94kg,화곡초-덕수중-덕수고-(방송통신대)-두산-경찰-두산,,50000만원,08 두산 육성선수,08두산
한화,54710,최준서,No. 94,2000년 06월 29일,외야수(우투좌타),182cm/77kg,인천숭의초-율곡중-율곡고-동국대,6000만원,3000만원,24 한화 6라운드 51순위,25한화
한화,55730,폰세,No. 30,1994년 04월 25일,투수(우투우타),198cm/115kg,미국 California State(대),200000달러,800000달러,25 한화 자유선발,25한화
한화,55734,플로리얼,No.,1997년 11월 25일,외야수(우투좌타),185cm/88kg,도미니카-한화,50000달러,700000달러,25 한화 자유선발,25한화
한화,62700,하주석,No. 16,1994년 02월 25일,내야수(우투좌타),185cm/92kg,강남초-덕수중-신일고-한화-상무,30000만원,9000만원,12 한화 1라운드 1순위,12한화
한화,61666,한승혁,No. 26,1993년 01월 03일,투수(우투좌타),185cm/100kg,도신초-강남중-덕수고-(남부대)-KIA,18000만원,9400만원,11 KIA 1라운드 8순위,11KIA
한화,55767,한지윤,No. 67,2006년 04월 10일,포수(우투우타),188cm/98kg,가동초-휘문중-경기상고,11000만원,3000만원,25 한화 3라운드 22순위,25한화
한화,52764,허인서,No. 59,2003년 07월 11일,포수(우투우타),182cm/93kg,순천북초-여수중-효천고-한화-상무,11000만원,3100만원,22 한화 2차 2라운드 11순위,22한화
한화,54795,황영묵,No. 95,1999년 10월 16일,내야수(우투좌타),177cm/80kg,수진초-성일중-충훈고,8000만원,8300만원,24 한화 4라운드 31순위,24한화
한화,54729,황준서,No. 29,2005년 08월 22일,투수(좌투좌타),185cm/78kg,면일초(중랑구리틀)-상명중-장충고,35000만원,4500만원,24 한화 1라운드 1순위,24한화
SSG,51868,고명준,No. 18,2002년 07월 08일,내야수(우투우타),185cm/94kg,서원초-세광중-세광고-SK,9000만원,8000만원,21 SK 2차 2라운드 18순위,21SK
SSG,71837,김강민,No.,1982년 09월 13일,외야수(우투우타),182cm/87kg,본리초-대구중-경북고-SK-SSG-한화,11000만원,11000만원,01 SK 2차 2라운드 18순위,01SK
SSG,51867,김건우,No. 39,2002년 07월 12일,투수(좌투좌타),185cm/88kg,가현초(인천서구리틀)-동산중-제물포고-SK-SSG-상무,20000만원,3000만원,21 SK 1차,21SK
SSG,77829,김광현,No. 29,1988년 07월 22일,투수(좌투좌타),188cm/88kg,덕성초(안산리틀)-안산중앙중-안산공고-SK-세인트루이스,50000만원,300000만원,07 SK 1차,07SK
SSG,54810,김규민,No. 61,2002년 08월 23일,포수(우투좌타),180cm/94kg,동수원초(수원영통구리틀)-매향중-공주고-여주대,3000만원,3000만원,24 SSG 10라운드 100순위,25SSG
SSG,68043,김민,No. 41,1999년 04월 14일,투수(우투우타),185cm/88kg,인천숭의초-평촌중-유신고-KT-상무-KT,30000만원,11000만원,18 KT 1차,18KT
SSG,62864,김민식,No. 24,1989년 06월 28일,포수(우투좌타),180cm/80kg,양덕초-마산중-마산고-원광대-SK-상무-SK-KIA,14000만원,25000만원,12 SK 2라운드 11순위,12SK
SSG,50848,김성민,No. 56,2001년 04월 30일,투수(우투우타),184cm/88kg,서울학동초-자양중-경기고-SK,10000만원,3000만원,20 SK 2차 2라운드 20순위,20SK
SSG,62934,김성욱,No. 47,1993년 05월 01일,외야수(우투우타),181cm/83kg,광주서림초-충장중-진흥고-NC-상무-NC,7000만원,10000만원,12 NC 3라운드 32순위,12NC
SSG,76802,김성현,No. 6,1987년 03월 09일,내야수(우투우타),172cm/72kg,송정동초-충장중-광주제일고-SK-상무-SK,7000만원,15000만원,06 SK 2차 3라운드 20순위,06SK
SSG,67900,김수윤,No. 4,1998년 07월 16일,내야수(우투우타),180cm/83kg,김해삼성초-개성중-부산고-NC,4000만원,3200만원,17 NC 2차 7라운드 68순위,17NC
SSG,66917,김찬형,No. 5,1997년 12월 29일,내야수(우투우타),182cm/83kg,양정초-경남중-경남고-NC-SSG-상무,5000만원,3200만원,16 NC 2차 6라운드 53순위,16NC
SSG,69825,김창평,No. 64,2000년 06월 14일,외야수(우투좌타),185cm/85kg,학강초-무등중-광주제일고-SK,15000만원,3100만원,19 SK 2차 1라운드 6순위,19SK
SSG,52803,김태윤,No. 36,2003년 02월 28일,내야수(우투좌타),170cm/65kg,창우초(하남시리틀)-배명중-배명고,4000만원,3100만원,22 SSG 2차 7라운드 62순위,25SSG
SSG,65343,김택형,No. 43,1996년 10월 10일,투수(좌투좌타),185cm/90kg,창영초-재능중-동산고-히어로즈-SK-SSG-상무,10000만원,20500만원,15 넥센 2차 2라운드 18순위,15넥센
SSG,73211,노경은,No. 38,1984년 03월 11일,투수(우투우타),187cm/100kg,화곡초-성남중-성남고-두산-롯데,35000만원,40000만원,03 두산 1차,03두산
SSG,50868,류효승,No. 45,1996년 07월 16일,외야수(우투우타),190cm/100kg,칠성초-경상중-대구상원고-성균관대-SK,5000만원,3100만원,20 SK 2차 6라운드 60순위,20SK
SSG,55844,맥브룸,No.,1992년 04월 09일,외야수(좌투우타),190cm/99kg,미국 West Virginia(대)-SSG,,75000달러,25 SSG 부상 대체 외국인선수,25SSG
SSG,62869,문승원,No. 42,1989년 11월 28일,투수(우투우타),180cm/88kg,가동초-배명중-배명고-고려대-SK-상무-SK,18000만원,80000만원,12 SK 1라운드 8순위,12SK
SSG,54802,박기호,No. 66,2005년 07월 26일,투수(우투우타),184cm/80kg,샛별초(청주시리틀)-현도중-청주고,9000만원,3000만원,24 SSG 3라운드 30순위,24SSG
